APRCRank,APRCGrade,CODE,PI,EXEC,SCICAT,BANDS,time12m_aprc,time7m_aprc,timeTP_aprc,timeNonStd_aprc,Proposal title
1,A,2015.1.00049.S,Gurwell Mark,NA,4,7,2.8,0.0,0.0,0.0,Characterizing the Atmosphere and Surface of Pluto (resubmission of Cycle 2 program)
2,A,2015.1.00686.S,Andrews Sean,NA,4,7,4.1,0.0,0.0,4.1,Characterizing Substructure in the TW Hya Disk
3,B,2015.1.01577.S,Israel Frank,EU,2,6,0.7,0.0,0.0,0.0,Probing the in-fall disk in the giant elliptical galaxy NGC  5128
4,A,2015.1.01290.S,Kameno Seiji,EA,2,76,4.4,0.0,0.0,4.4,Mass accretion in the central pc-scale of NGC 1052
5,A,2015.1.01104.S,Mignani Roberto,EU,5,7643,5.5,0.0,0.0,0.0,Exploring the pulsar spectra in the sub-mm with ALMA
6,A,2015.1.00464.S,Cleeves L. Ilsedore,NA,3,,4.3,0.0,0.0,4.3,Skimming the Surface: An Absorption Study of HDO in a Young Protoplanetary Disk
7,A,2015.1.00262.S,Ginsburg Adam,EU,3,34,1.9,0.0,0.0,0.0,Digging for rusty bullets at an explosion site
8,A,2015.1.00113.S,Scoville Nick,NA,2,673,12.0,0.0,0.0,9.1,Arp 220 Nuclear Disks at 50 mas Resolution
9,A,2015.1.01415.S,van der Wiel Matthijs,EU,3,6,3.7,0.0,0.0,3.7,Outflow launching scales in a Class I protostar
10,A,2015.1.01197.S,Dunlop James,EU,1,76,7.7,0.0,0.0,0.0,A deep ALMA 850-micron image of the Hubble Ultra Deep Field: completing our view of cosmic star-formation history
11,A,2015.1.01564.S,Neeleman Marcel,NA,1,78,6.1,0.0,0.0,2.4,[C II] 158 micron Emision from Absorption-Selected Galaxies at z ~ 4
12,A,2015.1.00122.S,Sobral David,EU,1,6,6.3,0.0,0.0,0.0,Gas and dust in the most luminous Lyman-alpha emitter at the epoch of re-ionisation: PopIII?
13,A,2015.1.00354.S,Dunham Michael,NA,4,6,4.8,0.0,0.0,0.0,Detection and Characterization of Fragmentation in a Class 0 Disk
14,A,2015.1.00222.S,Williams Jonathan,NA,4,6,2.8,0.0,0.0,0.0,Disk demographics in Lupus
15,A,2015.1.00823.S,Aalto Susanne,EU,2,7,1.4,0.0,0.0,1.4,A deeply buried AGN? Zooming in on the nucleus if the LIRG IC860
16,A,2015.1.00420.S,Combes Francoise,EU,2,387,5.6,0.0,0.0,1.4,Can the passage of a radio jet compress the molecular gas in a galaxy?
17,A,2015.1.00411.T,Stephane Corbel,EU,5,36,1.6,0.0,0.0,0.0,Broadband transient jet emission from accreting black holes
18,A,2015.1.00827.S,Cyganowski Claudia,EU,3,7,4.1,0.0,0.0,0.0,Kinematics and Chemistry of (the only?) Bonafide Massive Prestellar Core
19,A,2015.1.00037.S,Lee Chin-Fei,EA,3,7,3.0,0.0,0.0,3.0,Toward Resolving the Magnetic Flux Problem in Star Formation: Mapping Poloidal B-Field in Edge-on Disks
20,A,2015.1.00142.S,Darling Jeremy,NA,2,3,1.0,0.0,0.0,0.0,High Velocity Masers in the Galactic Center:  A New Probe of General Relativity
21,A,2015.1.01596.S,Goddi Ciriaco,EU,3,6,5.6,0.0,0.0,5.6,Disks around O-type stars: the W51 complex
22,A,2015.1.00704.S,Schreiber Corentin,EU,1,67,3.0,0.0,0.0,3.0,"Unveiling a population of massive, dark ALMA galaxies at z=6"
23,A,2015.1.00692.S,Fan Xiaohui,NA,1,6,2.2,0.0,0.0,0.0,Probing the Host Galaxy of the Most Massive Black Hole at the End of Reionization 
24,A,2015.1.00870.S,Wiklind Tommy,NA,1,67,13.7,0.0,0.0,0.0,Evolution of the interstellar gas fraction over cosmic time
25,A,2015.1.00425.S,Kataoka Akimasa,EA,4,7,6.0,0.0,0.0,6.0,Direct constraint on grain size at a planet-forming region with polarization observation
26,A,2015.1.00534.S,Eisner Josh,NA,4,7,8.0,0.0,0.0,0.0,Probing Planet-Forming Zones in Orion Nebula Cluster Disks
27,A,2015.1.00467.S,Morganti Raffaella,EU,2,637,7.5,0.0,0.0,0.0,Tracing the physical conditions of a jet-driven molecular outflow
28,A,2015.1.00421.S,Nagai Hiroshi,EA,2,7,9.0,0.0,0.0,9.0,Polarimetric Observation of Centaurus A: Poloidally-dominated Magnetic Field vs. Toroidally-dominated Magnetic Field in the Innermost Jet
29,A,2015.1.00513.S,Lagadec Eric,EU,5,6,2.0,0.0,0.0,0.0,Anatomy of a Fried Egg
