CODE	Executive	SB_name	SB_uid	State	Priority	Array	reqExecs	qaa	qab	status	
2012.1.00019.S	EU 	DO_NOT_RUN_B6_Cen_A_13CO2-1_TP_AmpCal 	uid://A002/X6444ba/X7a 	DELETED 	FILLER 	TP-ARRAY 	9 	0 	0	Deleted	
2012.1.00019.S	EU 	DO_NOT_RUN_B6_Cen_A_13CO2-1_TP_Science 	uid://A002/X6444ba/X7b 	DELETED 	FILLER 	TP-ARRAY 	9 	0 	0	Deleted	
2012.1.00323.S	EU 	B7_ISM_CI2-1 	uid://A002/X67ccb6/Xc 	DELETED 	FILLER 	C32-2,C32-3,C32-4,C32-5,C32-6 	3 	0 	0	Deleted	
2012.1.00333.S	EU 	DO NOT OBSERVE 	uid://A002/X6802f4/X12 	DELETED 	FILLER 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	1 	0 	0	Deleted	
2012.1.00019.S	EU 	B6_Cen_A_13CO2-1_7m 	uid://A002/X6444ba/X79 	DELIVERED 	FILLER 	SEVEN-M 	3 	3 	3	Done	
2012.1.00039.S	EU 	B6_MRC1017-220_group 	uid://A002/X75fbd6/X6b 	DELIVERED 	FILLER 	C32-4,C32-5 	1 	1 	1	Done	
2012.1.00248.S	EU 	HD101584_sg1_b6_12m 	uid://A002/X684eb5/X26a 	DELIVERED 	FILLER 	C32-5 	1 	1 	1	Done	
2012.1.00261.S	EU 	Bullet_Cluster_B6_2 	uid://A002/X6444ba/X9f 	DELIVERED 	FILLER 	C32-2,C32-3,C32-4,C32-5,C32-6 	2 	2 	2	Done	
2012.1.00323.S	EU 	B3_ISM_CO2-1 	uid://A002/X67ccb6/X9 	DELIVERED 	FILLER 	C32-2,C32-3,C32-4,C32-5,C32-6 	1 	1 	1	Done	
2012.1.00323.S	EU 	B6_ISM_CI1-0 	uid://A002/X67ccb6/Xa 	DELIVERED 	FILLER 	C32-2,C32-3,C32-4,C32-5,C32-6 	1 	1 	1	Done	
2012.1.00323.S	EU 	B6_ISM_CO4-3 	uid://A002/X67ccb6/Xb 	DELIVERED 	FILLER 	C32-2,C32-3,C32-4,C32-5,C32-6 	1 	1 	1	Done	
2012.1.00333.S	EU 	47_Tuc_B6_12m 	uid://A002/X6f9b0f/X106 	DELIVERED 	FILLER 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	1 	1 	1	Done	
2012.1.00391.S	EU 	ULASJ1319_1_B7_12m 	uid://A002/X609170/X41 	DELIVERED 	FILLER 	C32-2,C32-3,C32-4,C32-5,C32-6 	2 	3 	3	Done	
2012.1.00391.S	EU 	ULAS_J1319_2_B7_12m 	uid://A002/X609170/X42 	DELIVERED 	FILLER 	C32-2,C32-3,C32-4,C32-5,C32-6 	2 	2 	2	Done	
2012.1.00532.S	EU 	LMC_N11B_12m_B3_repeat_x1 	uid://A002/X75fbd6/X123 	DELIVERED 	FILLER 	C32-3,C32-4 	1 	2 	2	Done	
2012.1.00532.S	EU 	LMC_N11B_7m_B3_repeat_x3 	uid://A002/X75fbd6/X124 	DELIVERED 	FILLER 	SEVEN-M 	3 	3 	3	Done	
2012.1.00536.S	NA 	MSDM80+3_283_12m 	uid://A002/X5d7935/X383 	DELIVERED 	FILLER 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	1 	1 	1	Done	
2012.1.00759.S	EA 	VV219_7m_B3 	uid://A002/X758152/X40 	DELIVERED 	FILLER 	SEVEN-M 	3 	3 	3	Done	
2012.1.00919.S	NA 	GALEX0959+0151_92_12m_C32-2 	uid://A002/X609170/X22 	DELIVERED 	FILLER 	C32-2,C32-3,C32-4,C32-5,C32-6 	1 	1 	1	Done	
2012.1.00919.S	NA 	GALEX1000+0157_91_12m_C32-2 	uid://A002/X609170/X24 	DELIVERED 	FILLER 	C32-2,C32-3,C32-4,C32-5,C32-6 	2 	2 	2	Done	
2012.1.00919.S	NA 	GALEX1000+0201_91_12m_C32-2 	uid://A002/X609170/X23 	DELIVERED 	FILLER 	C32-2,C32-3,C32-4,C32-5,C32-6 	2 	2 	2	Done	
2012.1.00952.S	EA 	Multi-source-pacs819 	uid://A002/X5d7935/X29b 	DELIVERED 	FILLER 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	1 	1 	1	Done	
2012.1.00955.S	CL 	HD149757_B3 	uid://A002/X684eb5/X135 	DELIVERED 	FILLER 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	1 	1 	1	Done	
2012.1.00955.S	CL 	HD66811_B3 	uid://A002/X684eb5/X132 	DELIVERED 	FILLER 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	1 	1 	1	Done	
2012.1.00955.S	CL 	HD66811_B6 	uid://A002/X684eb5/X133 	DELIVERED 	FILLER 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	1 	1 	1	Done	
2012.1.00955.S	CL 	HD66811_B7 	uid://A002/X684eb5/X134 	DELIVERED 	FILLER 	C32-1,C32-2,C32-3,C32-4,C32-5,C32-6 	1 	1 	1	Done	
2012.1.01080.S	CL 	B3-GAMA09 	uid://A002/X75fbd6/X83 	DELIVERED 	FILLER 	C32-2 	1 	1 	1	Done	
2012.1.01080.S	CL 	B3-GAMA12 	uid://A002/X75fbd6/X84 	DELIVERED 	FILLER 	C32-2 	2 	2 	2	Done	
