,OBSPROJECT_UID,PI,PRJ_NAME,CODE,PRJ_SCIENTIFIC_RANK,PRJ_VERSION,PRJ_LETTER_GRADE,PRJ_STATUS,OBSPROPOSAL_UID,EXEC,timestamp,xmlfile,SCICAT,BANDS,time12m_aprc,time7m_aprc,timeTP_aprc,timeNonStd_aprc,APRCRank,APRCGrade,OBSREVIEW_UID
0,uid://A001/X1ee/X6ef,cherchneff,"Peering into the ejecta of SN1987A: chemistry, clumpiness and nucleosynthesis",2015.1.00697.S,356.0,0,C,Phase1Submitted,uid://A001/X1ee/X6f0,EU,0,uid___A001_X1ee_X6ef.xml,5,34.0,3.2,0.0,0.0,0.0,356,C,uid://A001/X200/X1e0
1,uid://A001/X1ed/X11f0,rosiechen,Probing physical conditions for massive star formation at low metallicity,2015.1.01420.S,909.0,0,C,Phase1Submitted,uid://A001/X1ed/X11f1,EU,0,uid___A001_X1ed_X11f0.xml,3,63.0,5.1,10.1,20.2,0.0,909,U,
2,uid://A001/X1ee/Xdf8,zhiyuzhang,A new molecular gas mass tracer in galaxies: a first test in the local Universe,2015.1.01191.S,119.0,0,A,Phase1Submitted,uid://A001/X1ee/Xdf9,EU,0,uid___A001_X1ee_Xdf8.xml,2,83.0,3.7,0.0,0.0,2.6,119,A,uid://A001/X200/Xf8f
3,uid://A001/X1ee/X12cb,csteinhardt,Massive Galaxies at z = 6: Is Hierarchical Merging Broken?,2015.1.01496.S,1000.0,0,C,Phase1Submitted,uid://A001/X1ee/X12cc,NA,0,uid___A001_X1ee_X12cb.xml,1,7.0,4.5,0.0,0.0,0.0,1000,U,uid://A001/X200/X124b
4,uid://A001/X1ed/X1351,terceromb,Iso-propanol in Orion-KL: a real chance for detecting a new branched molecule,2015.1.01502.S,999999.0,0,C,Phase1Submitted,uid://A001/X1ed/X1352,EU,0,uid___A001_X1ed_X1351.xml,3,7.0,1.4,0.0,0.0,0.0,1522,U,uid://A001/X201/Xdc2
5,uid://A001/X1ee/Xfb9,kalle,The accretion shock in early high-mass star formation traced by excited methanol,2015.1.01303.S,1040.0,0,C,Phase1Submitted,uid://A001/X1ee/Xfba,EU,0,uid___A001_X1ee_Xfb9.xml,3,7.0,1.4,0.0,0.0,0.0,1040,U,uid://A001/X201/Xc1b
6,uid://A001/X1ee/Xfc8,maudard,Tracing the disk of FU Orionis,2015.1.01307.S,20769.0,0,D,Phase1Submitted,uid://A001/X1ee/Xfc9,EU,0,uid___A001_X1ee_Xfc8.xml,4,6.0,0.0,0.0,0.0,0.0,20769,O,uid://A001/X200/X103a
7,uid://A001/X1ed/X64d,karinoberg,A spectral line survey of disks,2015.1.00657.S,73.0,0,A,Phase1Submitted,uid://A001/X1ed/X64e,NA,0,uid___A001_X1ed_X64d.xml,4,7.0,10.5,0.0,0.0,0.0,73,A,uid://A001/X201/X1ea
8,uid://A001/X1ee/Xfd3,lgm,From Dark to Light: Star Clusters in Formation,2015.1.01308.S,439.0,0,C,Phase1Submitted,uid://A001/X1ee/Xfd4,NA,0,uid___A001_X1ee_Xfd3.xml,3,6.0,6.0,0.0,0.0,0.0,439,C,uid://A001/X201/Xc4a
9,uid://A001/X1ee/X1407,eegami,ALMA Imaging of Bright Cluster-Lensed SMGs Discovered by the Herschel Lensing Survey,2015.1.01548.S,531.0,0,C,Phase1Submitted,uid://A001/X1ee/X1408,NA,0,uid___A001_X1ee_X1407.xml,1,6.0,6.4,0.0,0.0,0.0,531,C,uid://A001/X200/X1589
10,uid://A001/X1ee/Xd83,hkaneko,How Is Molecular Gas Affected by the Collision of Galaxies at the Collision Front,2015.1.01161.S,243.0,0,B,Phase1Submitted,uid://A001/X1ee/Xd84,EA,0,uid___A001_X1ee_Xd83.xml,2,73.0,3.9,6.6,0.0,0.0,243,B,uid://A001/X200/Xe41
11,uid://A001/X1ee/Xe0f,jdunlop,A deep ALMA 850-micron image of the Hubble Ultra Deep Field: completing our view of cosmic star-formation history,2015.1.01197.S,10.0,0,A,Phase1Submitted,uid://A001/X1ee/Xe10,EU,0,uid___A001_X1ee_Xe0f.xml,1,76.0,7.7,0.0,0.0,0.0,10,A,uid://A001/X201/Xa1e
12,uid://A001/X1b3/X1,tomkam,Dust nucleation in oxygen-rich envelopes of evolved stars,2015.1.00047.S,675.0,0,C,Phase1Submitted,uid://A001/X1b3/X2,EU,0,uid___A001_X1b3_X1.xml,5,76.0,7.5,0.0,0.0,0.0,675,C,uid://A001/X200/X13c9
13,uid://A001/X1ee/X2a5,panhsian,Reveal the Critical Missing Piece of Star Formation Theory: The Environmental Impact on Giant Molecular Clouds Using ALMA Observations and Simulations,2015.1.00374.S,20987.0,0,D,Phase1Submitted,uid://A001/X1ee/X2a6,EA,0,uid___A001_X1ee_X2a5.xml,2,3.0,0.0,5.1,0.0,0.0,20987,O,uid://A001/X201/X5c4
14,uid://A001/X1ed/Xc9c,mireland,Snapshot of Giant Planet Assembly: The Circumplanetary Disk of LkCa 15b,2015.1.01100.S,599.0,0,C,Phase1Submitted,uid://A001/X1ed/Xc9d,OTHER,0,uid___A001_X1ed_Xc9c.xml,4,6.0,2.0,0.0,0.0,2.1,599,U,uid://A001/X201/X889
15,uid://A001/X1ee/X40b,acoutens,Investigating the water deuteration in a young protostellar system,2015.1.00475.S,231.0,0,B,Phase1Submitted,uid://A001/X1ee/X40c,EU,0,uid___A001_X1ee_X40b.xml,3,89.0,3.2,0.0,0.0,3.2,231,B,uid://A001/X200/X462
16,uid://A001/X1ee/X699,hacar,Fibers and bundles: dissecting the internal substructure of massive filaments,2015.1.00669.S,171.0,0,B,Phase1Submitted,uid://A001/X1ee/X69a,EU,0,uid___A001_X1ee_X699.xml,3,3.0,12.4,0.0,0.0,0.0,171,B,uid://A001/X201/X2a2
17,uid://A001/X198/X60,bether,Mapping dust and gas in very massive intensely star-forming galaxies at z=2,2015.1.00029.S,999999.0,0,C,Phase1Submitted,uid://A001/X198/X61,EU,0,uid___A001_X198_X60.xml,1,36.0,3.8,0.0,0.0,0.0,1481,U,uid://A001/X200/X11fa
18,uid://A001/X1ee/X44b,beuther,Magnetic field structure at the onset of high-mass star formation,2015.1.00492.S,398.0,0,C,Phase1Submitted,uid://A001/X1ee/X44c,EU,0,uid___A001_X1ee_X44b.xml,3,6.0,9.6,0.0,0.0,9.6,398,C,uid://A001/X200/X517
19,uid://A001/X1ed/Xc65,vayner,Unique high resolution &multi-wavelength study of a z=1.4 quasar host galaxy,2015.1.01090.S,397.0,0,C,Phase1Submitted,uid://A001/X1ed/Xc66,NA,0,uid___A001_X1ed_Xc65.xml,2,746.0,4.5,0.0,0.0,0.0,397,C,uid://A001/X200/Xc26
20,uid://A001/X1ee/Xac0,karinsandstrom,"Revealing the Cause of ""Starburst""-like Conversion Factors in Nearby Galaxy Centers",2015.1.00978.S,436.0,0,C,Phase1Submitted,uid://A001/X1ee/Xac1,NA,0,uid___A001_X1ee_Xac0.xml,2,763.0,12.1,0.0,0.0,0.0,436,C,uid://A001/X200/Xdd4
21,uid://A001/X199/X2f,oberne,A candidate planetary embryo in a massive gaseous disk,2015.1.00020.S,999999.0,0,C,Phase1Submitted,uid://A001/X199/X30,EU,0,uid___A001_X199_X2f.xml,4,67.0,3.4,0.0,0.0,0.0,1152,U,uid://A001/X200/X118f
22,uid://A001/X1ed/X2ff,amarconi,Fast outflows quenching star formation at high redshift,2015.1.00407.S,98.0,0,B,Phase1Submitted,uid://A001/X1ed/X300,EU,0,uid___A001_X1ed_X2ff.xml,1,3.0,3.1,0.0,0.0,0.0,98,B,uid://A001/X200/Xc0e
23,uid://A001/X1ee/Xb0e,amoullet,Monitoring Neptune's stratosphere: localized sinks and sources,2015.1.00998.S,522.0,0,C,Phase1Submitted,uid://A001/X1ee/Xb0f,NA,0,uid___A001_X1ee_Xb0e.xml,4,7.0,2.6,0.0,0.0,0.0,522,U,uid://A001/X201/X9a8
24,uid://A001/X1ed/Xafd,wiphu,"Dissecting the intensely star-forming clumps in a highly-magnified, kinematically-ordered z ~ 2 galaxy",2015.1.01000.S,649.0,0,C,Phase1Submitted,uid://A001/X1ed/Xafe,EA,0,uid___A001_X1ed_Xafd.xml,1,6.0,3.9,0.0,0.0,0.0,649,C,uid://A001/X200/Xf00
25,uid://A001/X1ee/Xbcc,jeffkenney,ALMA Mapping of a Great Case of Ongoing Ram Pressure Stripping in the Nearby Virgo Cluster,2015.1.01056.S,345.0,0,B,Phase1Submitted,uid://A001/X1ee/Xbcd,NA,0,uid___A001_X1ee_Xbcc.xml,2,76.0,3.0,4.2,0.0,0.0,345,B,uid://A001/X201/X65f
