targetId,targetId,SB_UID,indObs,name
X33267470,X33267470,uid://A001/X2c0/X403c,0,Calibrators
X3731705,X3731705,uid://A001/X2c0/X403c,0,Calibrators
X28118081,X28118081,uid://A001/X2c0/X403c,0,Calibrators
X13768797,X13768797,uid://A001/X2c0/X403c,0,Science
X27726440,X27726440,uid://A001/X2c0/X403c,0,Science
X20832259,X20832259,uid://A001/X2c0/X403c,0,Science
X15011393,X15011393,uid://A001/X2c0/X403d,0,Calibrators
X9557759,X9557759,uid://A001/X2c0/X403d,0,Calibrators
X7545945,X7545945,uid://A001/X2c0/X403d,0,Calibrators
X22524084,X22524084,uid://A001/X2c0/X403d,0,Science
X16111840,X16111840,uid://A001/X2c0/X403d,0,Science
X25670226,X25670226,uid://A001/X2c0/X403d,0,Science
X32948909,X32948909,uid://A001/X2c0/X403e,0,Calibrators
X3896888,X3896888,uid://A001/X2c0/X403e,0,Calibrators
X14194332,X14194332,uid://A001/X2c0/X403e,0,Calibrators
X15350691,X15350691,uid://A001/X2c0/X403e,0,Science
X17780411,X17780411,uid://A001/X2c0/X403e,0,Science
X12000597,X12000597,uid://A001/X2c0/X403e,0,Science
X10863658,X10863658,uid://A001/X2c0/X403f,0,Calibrators
X22867483,X22867483,uid://A001/X2c0/X403f,0,Calibrators
X18489079,X18489079,uid://A001/X2c0/X403f,0,Calibrators
X25299924,X25299924,uid://A001/X2c0/X403f,0,Science
X8247847,X8247847,uid://A001/X2c0/X403f,0,Science
X22140503,X22140503,uid://A001/X2c0/X403f,0,Science
X13888768,X13888768,uid://A001/X2c0/X4040,0,Calibrators
X4174012,X4174012,uid://A001/X2c0/X4040,0,Calibrators
X14131392,X14131392,uid://A001/X2c0/X4040,0,Calibrators
X30396345,X30396345,uid://A001/X2c0/X4040,0,Science
X17585245,X17585245,uid://A001/X2c0/X4040,0,Science
X23174467,X23174467,uid://A001/X2c0/X4040,0,Science
X21736874,X21736874,uid://A001/X2c0/X4041,0,Calibrators
X16147712,X16147712,uid://A001/X2c0/X4041,0,Calibrators
X27641677,X27641677,uid://A001/X2c0/X4041,0,Calibrators
X6371608,X6371608,uid://A001/X2c0/X4041,0,Science
X11049047,X11049047,uid://A001/X2c0/X4041,0,Science
X26105825,X26105825,uid://A001/X2c0/X4041,0,Science
X25869080,X25869080,uid://A001/X2c0/X4042,0,Calibrators
X15877869,X15877869,uid://A001/X2c0/X4042,0,Calibrators
X32140304,X32140304,uid://A001/X2c0/X4042,0,Calibrators
X26900924,X26900924,uid://A001/X2c0/X4042,0,Science
X28362812,X28362812,uid://A001/X2c0/X4042,0,Science
X24198041,X24198041,uid://A001/X2c0/X4042,0,Science
X11712796,X11712796,uid://A001/X2c0/X4043,0,Calibrators
X13542953,X13542953,uid://A001/X2c0/X4043,0,Calibrators
X16549002,X16549002,uid://A001/X2c0/X4043,0,Calibrators
X15758640,X15758640,uid://A001/X2c0/X4043,0,Science
X30187942,X30187942,uid://A001/X2c0/X4043,0,Science
X26010499,X26010499,uid://A001/X2c0/X4043,0,Science
X24453359,X24453359,uid://A001/X2c0/X4044,0,Calibrators
X8168341,X8168341,uid://A001/X2c0/X4044,0,Calibrators
X31468176,X31468176,uid://A001/X2c0/X4044,0,Calibrators
X7131242,X7131242,uid://A001/X2c0/X4044,0,Science
X1122600,X1122600,uid://A001/X2c0/X4044,0,Science
X15725872,X15725872,uid://A001/X2c0/X4044,0,Science
X21162282,X21162282,uid://A001/X2c0/X28ab,0,Calibrators
X14615941,X14615941,uid://A001/X2c0/X28ab,0,Calibrators
X27470899,X27470899,uid://A001/X2c0/X28ab,0,Calibrators
X2859630,X2859630,uid://A001/X2c0/X28ab,0,Science
X8284560,X8284560,uid://A001/X2c0/X28ab,0,Science
X7609676,X7609676,uid://A001/X2c0/X28ab,0,Science
X5369917,X5369917,uid://A001/X2c0/X28ab,0,Science
X5436682,X5436682,uid://A001/X2c0/X28ac,0,Calibrators
X9656364,X9656364,uid://A001/X2c0/X28ac,0,Calibrators
X13409641,X13409641,uid://A001/X2c0/X28ac,0,Calibrators
X7975849,X7975849,uid://A001/X2c0/X28ac,0,Science
X21093165,X21093165,uid://A001/X2c0/X28ac,0,Science
X12610447,X12610447,uid://A001/X2c0/X28ac,0,Science
X14842346,X14842346,uid://A001/X2c0/X28ad,0,Calibrators
X23691951,X23691951,uid://A001/X2c0/X28ad,0,Calibrators
X4981117,X4981117,uid://A001/X2c0/X28ad,0,Calibrators
X25133710,X25133710,uid://A001/X2c0/X28ad,0,Science
X19119259,X19119259,uid://A001/X2c0/X28ad,0,Science
X25279559,X25279559,uid://A001/X2c0/X28ad,0,Science
X153266,X153266,uid://A001/X2c0/X28ae,0,Calibrators
X12225563,X12225563,uid://A001/X2c0/X28ae,0,Calibrators
X6130481,X6130481,uid://A001/X2c0/X28ae,0,Calibrators
X7422747,X7422747,uid://A001/X2c0/X28ae,0,Science
X23961171,X23961171,uid://A001/X2c0/X28ae,0,Science
X1659725,X1659725,uid://A001/X2c0/X28ae,0,Science
X21503881,X21503881,uid://A001/X2c0/X28af,0,Calibrators
X2979792,X2979792,uid://A001/X2c0/X28af,0,Calibrators
X33399247,X33399247,uid://A001/X2c0/X28af,0,Calibrators
X6342319,X6342319,uid://A001/X2c0/X28af,0,Science
X32560090,X32560090,uid://A001/X2c0/X28af,0,Science
X9395098,X9395098,uid://A001/X2c0/X28af,0,Science
X7182175,X7182175,uid://A001/X2c0/X28af,0,Science
X24144889,X24144889,uid://A001/X2c0/X28b0,0,Calibrators
X23788297,X23788297,uid://A001/X2c0/X28b0,0,Calibrators
X24766687,X24766687,uid://A001/X2c0/X28b0,0,Calibrators
X10546531,X10546531,uid://A001/X2c0/X28b0,0,Science
X19670243,X19670243,uid://A001/X2c0/X28b0,0,Science
X9668672,X9668672,uid://A001/X2c0/X28b0,0,Science
X27623155,X27623155,uid://A001/X2c0/X3193,0,Calibrators
X28965685,X28965685,uid://A001/X2c0/X3193,0,Calibrators
X21994536,X21994536,uid://A001/X2c0/X3193,0,Calibrators
X29062402,X29062402,uid://A001/X2c0/X3193,0,Science
X32249994,X32249994,uid://A001/X2c0/X3193,0,Science
