paramRef,paramRef,SB_UID,parName,representative_bw,sensitivy,sensUnit,intTime,subScanDur
X4390463,X4390463,uid://A001/X2c0/X403c,Science Params,0.11568416440949959,0.6148243812458639,mJy,120.86,30.24
X61497,X61497,uid://A001/X2c0/X403d,Science Params,0.12022904191939345,0.6640824850391169,mJy,120.86,30.24
X23777384,X23777384,uid://A001/X2c0/X403e,Science Params,0.12477378600364925,0.7152369779119758,mJy,120.86,30.24
X32832441,X32832441,uid://A001/X2c0/X403f,Science Params,0.12931866351354307,0.7682908634750861,mJy,120.86,30.24
X3128337,X3128337,uid://A001/X2c0/X4040,Science Params,0.1338634075977989,0.8232410266836446,mJy,120.86,30.24
X1079444,X1079444,uid://A001/X2c0/X4041,Science Params,0.17038867602199653,1.333781563552429,mJy,120.86,30.24
X23705718,X23705718,uid://A001/X2c0/X4042,Science Params,0.1749335535318904,1.405884005336755,mJy,120.86,30.24
X24158408,X24158408,uid://A001/X2c0/X4043,Science Params,0.17947829761614617,1.4798821655510683,mJy,120.86,30.24
X25850669,X25850669,uid://A001/X2c0/X4044,Science Params,0.1840231751260401,1.5557803891052548,mJy,120.86,30.24
X921871,X921871,uid://A001/X2c0/X28ab,Science Params,0.024179227350676052,4.0,mJy,1390.94,30.24
X14948441,X14948441,uid://A001/X2c0/X28ac,Science Params,0.005662945420717281,3.0,mJy,181.34,30.24
X13379783,X13379783,uid://A001/X2c0/X28ad,Science Params,0.024179227350676052,4.0,mJy,695.42,30.24
X13508689,X13508689,uid://A001/X2c0/X28ae,Science Params,0.0056655822052718565,3.0,mJy,151.1,30.24
X17722511,X17722511,uid://A001/X2c0/X28af,Science Params,0.024189717605873094,4.0,mJy,725.66,30.24
X4098118,X4098118,uid://A001/X2c0/X28b0,Science Params,0.00566244504264641,3.0,mJy,151.1,30.24
X21927222,X21927222,uid://A001/X2c0/X3193,Science Params,7.5,0.11999999999999991,mJy,141.02,28.224
X25835256,X25835256,uid://A001/X2c0/X3194,Science Params,7.5,0.11999999999999991,mJy,120.86,30.24
X6700847,X6700847,uid://A001/X2c0/X3195,Science Params,7.5,0.11999999999999991,mJy,120.86,30.24
X28644784,X28644784,uid://A001/X2c0/X3196,Science Params,7.5,0.11999999999999991,mJy,130.94,26.208
X30479155,X30479155,uid://A001/X2c0/X3197,Science Params,7.5,0.11999999999999991,mJy,169.244,28.224
X24650604,X24650604,uid://A001/X2c0/X3198,Science Params,7.5,0.11999999999999991,mJy,141.02,28.224
X5785194,X5785194,uid://A001/X2c0/X3199,Science Params,7.5,0.11999999999999991,mJy,141.02,28.224
X21713880,X21713880,uid://A001/X2c0/X319a,Science Params,7.5,0.11999999999999991,mJy,141.02,28.224
X17043402,X17043402,uid://A001/X2c0/X31bd,Science Params,0.000564453125,7.0,mJy,2963.4199999999996,30.24
X30804772,X30804772,uid://A001/X2c0/X4158,Science Params,0.00112890625,3.7,mJy,1269.98,30.24
X13794106,X13794106,uid://A001/X2c0/X415a,Science Params,0.0001830864237257141,1.83,mJy,2721.5,30.24
X7398327,X7398327,uid://A001/X2c0/X273c,Science Params,0.00112890625,3.0,mJy,1421.18,30.24
X30938860,X30938860,uid://A001/X2c0/X273c,Science Params,0.00112890625,3.0,mJy,1269.98,30.24
X44112,X44112,uid://A001/X2c0/X273d,Science Params,0.00112890625,3.0,mJy,1572.38,30.24
X4990352,X4990352,uid://A001/X2c0/X273d,Science Params,0.00112890625,3.0,mJy,1390.94,30.24
X11689382,X11689382,uid://A001/X2c0/X273e,Science Params,0.00112890625,3.0,mJy,1511.9,30.24
X26648753,X26648753,uid://A001/X2c0/X273e,Science Params,0.00112890625,3.0,mJy,1360.7,30.24
X1201931,X1201931,uid://A001/X2c0/X273f,Science Params,0.00112890625,3.0,mJy,907.0999999999999,30.24
X16919379,X16919379,uid://A001/X2c0/X273f,Science Params,0.00112890625,3.0,mJy,816.3799999999999,30.24
X11549355,X11549355,uid://A001/X2c0/X2740,Science Params,0.00112890625,3.0,mJy,1028.06,30.24
X22454846,X22454846,uid://A001/X2c0/X2740,Science Params,0.00112890625,3.0,mJy,907.0999999999999,30.24
X4028079,X4028079,uid://A001/X2c0/X2741,Science Params,0.00112890625,3.0,mJy,967.5799999999999,30.24
X33114615,X33114615,uid://A001/X2c0/X2741,Science Params,0.00112890625,3.0,mJy,846.6199999999999,30.24
X1098686,X1098686,uid://A001/X2c0/X415c,Science Params,5.7421875,0.09999999999999995,mJy,2540.06,24.192
X4103747,X4103747,uid://A001/X2c0/X388a,Science Params,7.5,0.09999999999999995,mJy,120.86,30.24
X31323115,X31323115,uid://A001/X2c0/X388b,Science Params,7.5,0.09999999999999995,mJy,120.86,30.24
X880676,X880676,uid://A001/X2c0/X388c,Science Params,7.5,0.09999999999999995,mJy,120.86,30.24
X18923531,X18923531,uid://A001/X2c0/X388d,Science Params,7.5,0.09999999999999995,mJy,120.86,30.24
X14129180,X14129180,uid://A001/X2c0/X388e,Science Params,7.5,0.09999999999999995,mJy,120.86,30.24
X1159746,X1159746,uid://A001/X2c0/X388f,Science Params,7.5,0.09999999999999995,mJy,120.86,30.24
X21304876,X21304876,uid://A001/X2c0/X3890,Science Params,7.5,0.09999999999999995,mJy,120.86,30.24
X12055997,X12055997,uid://A001/X2c0/X3891,Science Params,7.5,0.09999999999999995,mJy,120.86,30.24
X5428317,X5428317,uid://A001/X2c0/X3892,Science Params,7.5,0.09999999999999995,mJy,120.86,30.24
X12862525,X12862525,uid://A001/X2c0/X3893,Science Params,7.5,0.09999999999999995,mJy,60.379999999999995,30.24
X13871651,X13871651,uid://A001/X2c0/X3894,Science Params,7.5,0.09999999999999995,mJy,120.86,30.24
X19522222,X19522222,uid://A001/X2c0/X3895,Science Params,7.5,0.09999999999999995,mJy,120.86,30.24
X6363585,X6363585,uid://A001/X2c0/X3896,Science Params,7.5,0.09999999999999995,mJy,120.86,30.24
X28473916,X28473916,uid://A001/X2c0/X3897,Science Params,7.5,0.09999999999999995,mJy,120.86,30.24
X25491793,X25491793,uid://A001/X2c0/X3898,Science Params,7.5,0.09999999999999995,mJy,130.94,26.208
X1204993,X1204993,uid://A001/X2c0/X3899,Science Params,7.5,0.09999999999999995,mJy,120.86,30.24
X8366927,X8366927,uid://A001/X2c0/X389a,Science Params,7.5,0.09999999999999995,mJy,60.379999999999995,30.24
X12601017,X12601017,uid://A001/X2c0/X389b,Science Params,7.5,0.09999999999999995,mJy,120.86,30.24
X8957956,X8957956,uid://A001/X2c0/X36ee,Science Params,0.001908459881979659,1.4992613077468324,mJy,2751.74,30.24
X27553542,X27553542,uid://A001/X2c0/X36ef,Science Params,0.001908459881979659,1.4992613077468324,mJy,1390.94,30.24
X10324892,X10324892,uid://A001/X2c0/X36f0,Science Params,0.001908459881979659,1.4992613077468324,mJy,1844.54,30.24
X8885665,X8885665,uid://A001/X2c0/X36f1,Science Params,0.023523132866409245,0.8134737719109514,mJy,1814.3000000000002,30.24
X12815931,X12815931,uid://A001/X2c0/X36f2,Science Params,0.023523132866409245,0.8134737719109514,mJy,1814.3000000000002,30.24
X9853126,X9853126,uid://A001/X2c0/X2212,Science Params,7.5,0.06999999999999999,mJy,2781.98,24.192
X29378349,X29378349,uid://A001/X2c0/X2213,Science Params,7.5,0.031,mJy,2991.6440000000002,28.224
X33377556,X33377556,uid://A001/X2c0/X353c,Science Params,0.00112890625,1.6,mJy,2207.42,30.24
X23184182,X23184182,uid://A001/X2c0/X353d,Science Params,0.00112890625,2.0,mJy,2388.86,30.24
X2639894,X2639894,uid://A001/X2c0/X353e,Science Params,0.00112890625,1.4,mJy,2812.22,30.24
X31399423,X31399423,uid://A001/X2c0/X3342,Science Params,0.0003838381378474645,12.0,mJy,2993.66,30.24
X23168144,X23168144,uid://A001/X2c0/X3343,Science Params,0.0003838381378474645,12.0,mJy,1596.5720000000001,24.192
X9310849,X9310849,uid://A001/X2c0/X3344,Science Params,0.0003838381378474645,12.0,mJy,1975.5800000000002,20.16
X25550269,X25550269,uid://A001/X2c0/X3345,Science Params,0.0003843161330462679,24.299999999999997,mJy,2757.788,24.192
X13191052,X13191052,uid://A001/X2c0/X3346,Science Params,0.0003843161330462679,24.299999999999997,mJy,1965.5,10.08
X15355554,X15355554,uid://A001/X2c0/X224f,Science Params,7.5,0.019999999999999997,mJy,2661.02,30.24
X33045244,X33045244,uid://A001/X2c0/X2bd3,Science Params,0.00024414062500000005,34.9,mJy,272.05999999999995,30.24
X2955286,X2955286,uid://A001/X2c0/X2bd4,Science Params,0.0002822265625,45.0,mJy,241.82,30.24
X19427916,X19427916,uid://A001/X2c0/X2bd5,Science Params,0.00024230957031250004,194.0,mJy,181.34,30.24
X6871001,X6871001,uid://A001/X2c0/X2bd6,Science Params,0.0002822265625,152.5,mJy,725.66,30.24
X8305633,X8305633,uid://A001/X2c0/X3498,Science Params,3.051757812500001e-05,24.30016230340922,mJy,2685.212,18.144
X1986534,X1986534,uid://A001/X2c0/X3499,Science Params,3.051757812500001e-05,25.63144,mJy,2685.212,18.144
X10004150,X10004150,uid://A001/X2c0/X349a,Science Params,0.14741264771910967,0.15,mJy,2842.46,30.24
X32568211,X32568211,uid://A001/X2c0/X349b,Science Params,0.11500756299879969,0.15,mJy,1602.6200000000001,30.24
X11814994,X11814994,uid://A001/X2c0/X349c,Science Params,0.12632472562068256,0.15,mJy,1481.66,30.24
X20756920,X20756920,uid://A001/X2c0/X349d,Science Params,6.923910646880472,0.06500000000000011,mJy,1572.38,30.24
X5297039,X5297039,uid://A001/X2c0/X2178,Science Params,7.5,0.009999999999999998,mJy,1058.3,30.24
X33122465,X33122465,uid://A001/X2c0/X3529,Science Params,0.0946479795905381,0.1999999999999999,mJy,1451.42,30.24
X28159306,X28159306,uid://A001/X2c0/X352a,Science Params,0.22078903574827155,0.1999999999999999,mJy,846.6199999999999,30.24
X4051668,X4051668,uid://A001/X2c0/X352b,Science Params,0.15773056064637914,0.1999999999999999,mJy,1844.54,30.24
X6266531,X6266531,uid://A001/X2c0/X352c,Science Params,0.15773056064637914,0.1999999999999999,mJy,1844.54,30.24
X8250010,X8250010,uid://A001/X2c0/X3470,Science Params,0.00383572044985781,4.866644755142146,mJy,362.78,30.24
X12631212,X12631212,uid://A001/X2c0/X3471,Science Params,0.003824952419550701,2.1508261396036796,mJy,1632.8600000000001,30.24
X25673260,X25673260,uid://A001/X2c0/X3472,Science Params,0.007306615819658671,1.7659089004414126,mJy,1058.3,30.24
X19035300,X19035300,uid://A001/X2c0/X3473,Science Params,0.007285490987728409,0.7803166653215104,mJy,2328.3799999999997,30.24
X4538699,X4538699,uid://A001/X2c0/X3474,Science Params,0.01095959147801507,3.9730541277629765,mJy,1269.98,30.24
X23143105,X23143105,uid://A001/X2c0/X3475,Science Params,0.010927913248699529,1.7556086383795588,mJy,2963.4199999999996,30.24
X16317662,X16317662,uid://A001/X2c0/X3476,Science Params,0.0038350813835629953,4.865023234707509,mJy,362.78,30.24
X11415143,X11415143,uid://A001/X2c0/X3477,Science Params,0.010956851762930401,3.9710679815075984,mJy,1269.98,30.24
X28386738,X28386738,uid://A001/X2c0/X3479,Science Params,0.0005764773401825578,4.3,mJy,1844.54,30.24
X23065224,X23065224,uid://A001/X2c0/X347a,Science Params,0.0003844794480899322,1.9,mJy,2358.62,30.24
X9156512,X9156512,uid://A001/X2c0/X2a1f,Science Params,0.05164685671830453,0.20000000000000084,mJy,2237.66,30.24
X17305795,X17305795,uid://A001/X2c0/X2a20,Science Params,0.05083740854429398,0.20000000000000084,mJy,2146.94,30.24
X25744748,X25744748,uid://A001/X2c0/X2a21,Science Params,0.05083740854429398,0.20000000000000084,mJy,2116.7,30.24
X11591156,X11591156,uid://A001/X2c0/X3496,Science Params,0.008,1.92,mJy,2298.14,30.24
X5741368,X5741368,uid://A001/X2c0/X34a0,Science Params,0.01199223183452752,0.3019999999999999,mJy,2812.22,30.24
X1600423,X1600423,uid://A001/X2c0/X34ab,Science Params,0.0007684003255372519,14.0,mJy,1620.7640000000001,24.192
X23672247,X23672247,uid://A001/X2c0/X34ac,Science Params,7.3276989218301765,0.21999999999999986,mJy,1729.6280000000002,12.096
X15140882,X15140882,uid://A001/X2c0/X34ad,Science Params,7.3276989218301765,0.21999999999999986,mJy,2015.9,20.16
X1811919,X1811919,uid://A001/X2c0/X20f7,Science Params,7.5,0.0313,mJy,1213.5320000000002,28.224
X15371273,X15371273,uid://A001/X2c0/X20f7,Science Params,7.5,0.0313,mJy,1185.308,28.224
X14516846,X14516846,uid://A001/X2c0/X3bdb,Science Params,0.0009765625,0.7000000000000007,mJy,2630.7799999999997,30.24
X3613499,X3613499,uid://A001/X2c0/X2ca2,Science Params,7.5,0.039999999999999994,mJy,1390.94,30.24
X28254086,X28254086,uid://A001/X2c0/X2ca3,Science Params,7.5,0.039999999999999994,mJy,1814.3,30.24
X26687508,X26687508,uid://A001/X2c0/X2ca4,Science Params,7.5,0.039999999999999994,mJy,1602.6200000000001,30.24
X32658779,X32658779,uid://A001/X2c0/X2ca5,Science Params,7.5,0.039999999999999994,mJy,1905.02,30.24
X15279335,X15279335,uid://A001/X2c0/X2ca6,Science Params,7.5,0.039999999999999994,mJy,1542.14,30.24
X17341335,X17341335,uid://A001/X2c0/X2ca7,Science Params,7.5,0.039999999999999994,mJy,1390.94,30.24
X18697321,X18697321,uid://A001/X2c0/X3be5,Science Params,0.33931357971768117,0.09999999999999995,mJy,2872.7,30.24
X16798931,X16798931,uid://A001/X2c0/X3130,Science Params,7.5,0.09499999999999996,mJy,141.02,28.224
X8601603,X8601603,uid://A001/X2c0/X2717,Science Params,7.5,0.010599999999999991,mJy,2902.94,30.24
X16593886,X16593886,uid://A001/X2c0/X2222,Science Params,7.5,0.012000000000000009,mJy,2207.42,30.24
X12128198,X12128198,uid://A001/X2c0/X2223,Science Params,7.5,0.13699999999999998,mJy,120.86,30.24
X8567751,X8567751,uid://A001/X2c0/X4102,Science Params,0.07004845999161183,0.15,mJy,1663.1,30.24
X16501177,X16501177,uid://A001/X2c0/X4103,Science Params,0.011040971551058836,0.5000000000000012,mJy,1905.02,30.24
X9726156,X9726156,uid://A001/X2c0/X4104,Science Params,0.06394423704948574,0.11999999999999991,mJy,2933.18,30.24
X11407453,X11407453,uid://A001/X2c0/X4105,Science Params,0.013492667650765252,0.3,mJy,2177.18,30.24
X21798862,X21798862,uid://A001/X2c0/X4c,Science Params,0.008208345255287262,38.03607425085348,mJy,1802.2040000000002,12.096
X32935606,X32935606,uid://A001/X2c0/X4d,Science Params,0.008208345255287262,38.03607425085348,mJy,1602.6200000000001,30.24
X21763345,X21763345,uid://A001/X2c0/X4e,Science Params,0.008208345255287262,38.03607425085348,mJy,374.87600000000003,4.464
X4675260,X4675260,uid://A001/X2c0/X4f,Science Params,0.008208345255287262,38.03607425085348,mJy,1108.7,10.08
X10542644,X10542644,uid://A001/X2c0/X239d,Science Params,0.003075557562161866,0.8000000000000034,mJy,1814.3,30.24
X12195718,X12195718,uid://A001/X2c0/X239e,Science Params,0.0011533340858106997,3.0,mJy,695.42,30.24
X13693350,X13693350,uid://A001/X2c0/X2829,Science Params,0.015300582856561332,0.25,mJy,2237.66,30.24
X29581268,X29581268,uid://A001/X2c0/X20f9,Science Params,7.5,0.025000000000000057,mJy,574.4599999999999,30.24
X17125313,X17125313,uid://A001/X2c0/X20f9,Science Params,7.5,0.025000000000000057,mJy,544.2199999999999,30.24
X312428,X312428,uid://A001/X2c0/X2104,Science Params,7.5,0.012000000000000004,mJy,2177.18,30.24
X24404507,X24404507,uid://A001/X2c0/X3aef,Science Params,0.044422895392370695,0.3999999999999998,mJy,1179.26,30.24
X9193335,X9193335,uid://A001/X2c0/X3af0,Science Params,0.05243268995112611,3.7,mJy,1179.26,30.24
X19924746,X19924746,uid://A001/X2c0/X3af0,Science Params,0.05243268995112611,3.7,mJy,1269.98,30.24
X23327696,X23327696,uid://A001/X2c0/X3af1,Science Params,0.050355669721350964,4.5,mJy,2207.42,30.24
X16296748,X16296748,uid://A001/X2c0/X3af2,Science Params,0.04265450867346369,0.3999999999999998,mJy,1149.02,30.24
X16821664,X16821664,uid://A001/X2c0/X3af3,Science Params,0.0731452894001211,0.15,mJy,2721.5,30.24
X30479846,X30479846,uid://A001/X2c0/X3af5,Science Params,0.0011243016958887753,5.0,mJy,241.82,30.24
X6589014,X6589014,uid://A001/X2c0/X4138,Science Params,0.0002822265625,3.0,mJy,2116.7,30.24
X28647330,X28647330,uid://A001/X2c0/X4139,Science Params,0.0002822265625,3.0,mJy,1602.6200000000001,30.24
X10659039,X10659039,uid://A001/X2c0/X2556,Science Params,7.5,0.039999999999999994,mJy,332.53999999999996,30.24
X28894528,X28894528,uid://A001/X2c0/X2557,Science Params,7.5,0.08999999999999997,mJy,130.94,26.208
X11359809,X11359809,uid://A001/X2c0/X2558,Science Params,7.5,0.039999999999999994,mJy,332.53999999999996,30.24
X19746636,X19746636,uid://A001/X2c0/X2559,Science Params,7.5,0.08999999999999997,mJy,141.02,28.224
X17860814,X17860814,uid://A001/X2c0/X255a,Science Params,7.5,0.039999999999999994,mJy,665.18,30.24
X25138242,X25138242,uid://A001/X2c0/X255b,Science Params,7.5,0.08999999999999997,mJy,130.94,26.208
X18288556,X18288556,uid://A001/X2c0/X2229,Science Params,0.0005811982948458995,2.0,mJy,1481.66,30.24
X29770495,X29770495,uid://A001/X2c0/X2769,Science Params,0.03125,0.25,mJy,2177.18,30.24
X12762440,X12762440,uid://A001/X2c0/X3dae,Science Params,3.52783203125e-05,19.17033,mJy,2394.908,24.192
X14591376,X14591376,uid://A001/X2c0/X3daf,Science Params,3.52783203125e-05,19.17033,mJy,1995.74,30.24
X22050796,X22050796,uid://A001/X2c0/X3db0,Science Params,3.52783203125e-05,19.17033,mJy,483.74,5.04
X22508936,X22508936,uid://A001/X2c0/X3db1,Science Params,3.52783203125e-05,19.17033,mJy,974.4919999999998,20.304
X30095504,X30095504,uid://A001/X2c0/X221b,Science Params,0.01,0.2500000000000006,mJy,2177.18,30.24
