specRef,specRef,SB_UID,Name,BaseBands,SPWs
X5925611,X5925611,uid://A001/X2c0/X403c,B3 Pointing Setup,4,4
X5533869,X5533869,uid://A001/X2c0/X403c,87 GHz Science setup_1,4,4
X14283856,X14283856,uid://A001/X2c0/X403d,B3 Pointing Setup,4,4
X12196694,X12196694,uid://A001/X2c0/X403d,90 GHz Science setup_1,4,4
X16870568,X16870568,uid://A001/X2c0/X403e,B3 Pointing Setup,4,4
X30302703,X30302703,uid://A001/X2c0/X403e,94 GHz Science setup_1,4,4
X22710835,X22710835,uid://A001/X2c0/X403f,B3 Pointing Setup,4,4
X1334649,X1334649,uid://A001/X2c0/X403f,97 GHz Science setup_1,4,4
X25951802,X25951802,uid://A001/X2c0/X4040,B3 Pointing Setup,4,4
X23866815,X23866815,uid://A001/X2c0/X4040,100 GHz Science setup_1,4,4
X26492552,X26492552,uid://A001/X2c0/X4041,B4 Pointing Setup,4,4
X6359148,X6359148,uid://A001/X2c0/X4041,128 GHz Science setup_1,4,4
X24536411,X24536411,uid://A001/X2c0/X4042,B4 Pointing Setup,4,4
X962993,X962993,uid://A001/X2c0/X4042,131 GHz Science setup_1,4,4
X11698731,X11698731,uid://A001/X2c0/X4043,B4 Pointing Setup,4,4
X16699446,X16699446,uid://A001/X2c0/X4043,135 GHz Science setup_1,4,4
X25138051,X25138051,uid://A001/X2c0/X4044,B4 Pointing Setup,4,4
X14133817,X14133817,uid://A001/X2c0/X4044,138 GHz Science setup_1,4,4
X6570306,X6570306,uid://A001/X2c0/X28ab,B6 Pointing Setup,4,4
X31679574,X31679574,uid://A001/X2c0/X28ab,CI 1-0 Science setup_1,4,4
X12432912,X12432912,uid://A001/X2c0/X28ac,B3 Pointing Setup,4,4
X25289539,X25289539,uid://A001/X2c0/X28ac,CO1-0 Science setup_1,4,4
X7859748,X7859748,uid://A001/X2c0/X28ad,B6 Pointing Setup,4,4
X177936,X177936,uid://A001/X2c0/X28ad,CI 1-0 Science setup_1,4,4
X30970967,X30970967,uid://A001/X2c0/X28ae,B3 Pointing Setup,4,4
X21257653,X21257653,uid://A001/X2c0/X28ae,CO1-0 Science setup_1,4,4
X29640589,X29640589,uid://A001/X2c0/X28af,B6 Pointing Setup,4,4
X18151623,X18151623,uid://A001/X2c0/X28af,CI 1-0 Science setup_1,4,4
X12883725,X12883725,uid://A001/X2c0/X28b0,B3 Pointing Setup,4,4
X8857675,X8857675,uid://A001/X2c0/X28b0,CO1-0 Science setup_1,4,4
X1508889,X1508889,uid://A001/X2c0/X3193,B6 Pointing Setup,4,4
X20544614,X20544614,uid://A001/X2c0/X3193,SkyCont(283.0 GHz) Science setup_1,4,4
X14469421,X14469421,uid://A001/X2c0/X3194,B6 Pointing Setup,4,4
X507600,X507600,uid://A001/X2c0/X3194,SkyCont(285.9 GHz) Science setup_1,4,4
X3353166,X3353166,uid://A001/X2c0/X3195,B6 Pointing Setup,4,4
X9629366,X9629366,uid://A001/X2c0/X3195,SkyCont(288.8 GHz) Science setup_1,4,4
X6782305,X6782305,uid://A001/X2c0/X3196,B6 Pointing Setup,4,4
X21898554,X21898554,uid://A001/X2c0/X3196,SkyCont(291.7 GHz) Science setup_1,4,4
X26041414,X26041414,uid://A001/X2c0/X3197,B6 Pointing Setup,4,4
X29527243,X29527243,uid://A001/X2c0/X3197,SkyCont(307.5 GHz) Science setup_1,4,4
X19446385,X19446385,uid://A001/X2c0/X3198,B6 Pointing Setup,4,4
