targetId,targetId,SB_UID,specRef,fieldRef,paramRef
X33267470,X33267470,uid://A001/X2c0/X403c,X5925611,X31208579,X16223716
X13768797,X13768797,uid://A001/X2c0/X403c,X5925611,X5411214,X22821711
X3731705,X3731705,uid://A001/X2c0/X403c,X5533869,X28643372,X29223827
X27726440,X27726440,uid://A001/X2c0/X403c,X5533869,X18582663,X1234365
X28118081,X28118081,uid://A001/X2c0/X403c,X5533869,X18412988,X7224272
X20832259,X20832259,uid://A001/X2c0/X403c,X5533869,X4322535,X4390463
X15011393,X15011393,uid://A001/X2c0/X403d,X14283856,X10490271,X33470946
X22524084,X22524084,uid://A001/X2c0/X403d,X14283856,X32948849,X32688028
X9557759,X9557759,uid://A001/X2c0/X403d,X12196694,X27280140,X14553789
X16111840,X16111840,uid://A001/X2c0/X403d,X12196694,X8627643,X26114727
X7545945,X7545945,uid://A001/X2c0/X403d,X12196694,X16227641,X30339107
X25670226,X25670226,uid://A001/X2c0/X403d,X12196694,X26948169,X61497
X32948909,X32948909,uid://A001/X2c0/X403e,X16870568,X12160376,X33502775
X15350691,X15350691,uid://A001/X2c0/X403e,X16870568,X2598302,X21908589
X3896888,X3896888,uid://A001/X2c0/X403e,X30302703,X7926161,X6752484
X17780411,X17780411,uid://A001/X2c0/X403e,X30302703,X15551451,X6254019
X14194332,X14194332,uid://A001/X2c0/X403e,X30302703,X3891936,X8267554
X12000597,X12000597,uid://A001/X2c0/X403e,X30302703,X26776041,X23777384
X10863658,X10863658,uid://A001/X2c0/X403f,X22710835,X7902618,X26926599
X25299924,X25299924,uid://A001/X2c0/X403f,X22710835,X19564775,X5103603
X22867483,X22867483,uid://A001/X2c0/X403f,X1334649,X23819077,X3804665
X8247847,X8247847,uid://A001/X2c0/X403f,X1334649,X12408463,X28586493
X18489079,X18489079,uid://A001/X2c0/X403f,X1334649,X32830818,X22130669
X22140503,X22140503,uid://A001/X2c0/X403f,X1334649,X12202691,X32832441
X13888768,X13888768,uid://A001/X2c0/X4040,X25951802,X31253344,X18830899
X30396345,X30396345,uid://A001/X2c0/X4040,X25951802,X4138464,X31788207
X4174012,X4174012,uid://A001/X2c0/X4040,X23866815,X3971198,X15179289
X17585245,X17585245,uid://A001/X2c0/X4040,X23866815,X5449374,X26286085
X14131392,X14131392,uid://A001/X2c0/X4040,X23866815,X4538784,X19837054
X23174467,X23174467,uid://A001/X2c0/X4040,X23866815,X31726299,X3128337
X21736874,X21736874,uid://A001/X2c0/X4041,X26492552,X1780135,X25833174
X6371608,X6371608,uid://A001/X2c0/X4041,X26492552,X3837567,X29761392
X16147712,X16147712,uid://A001/X2c0/X4041,X6359148,X18488141,X3199422
X11049047,X11049047,uid://A001/X2c0/X4041,X6359148,X2815660,X33444473
X27641677,X27641677,uid://A001/X2c0/X4041,X6359148,X24945362,X11521033
X26105825,X26105825,uid://A001/X2c0/X4041,X6359148,X22827288,X1079444
X25869080,X25869080,uid://A001/X2c0/X4042,X24536411,X24885363,X3293689
X26900924,X26900924,uid://A001/X2c0/X4042,X24536411,X20363452,X17919007
X15877869,X15877869,uid://A001/X2c0/X4042,X962993,X8094576,X18651371
X28362812,X28362812,uid://A001/X2c0/X4042,X962993,X18650580,X16339193
X32140304,X32140304,uid://A001/X2c0/X4042,X962993,X13557846,X14678749
X24198041,X24198041,uid://A001/X2c0/X4042,X962993,X30246969,X23705718
X11712796,X11712796,uid://A001/X2c0/X4043,X11698731,X2158865,X27743294
X15758640,X15758640,uid://A001/X2c0/X4043,X11698731,X31071778,X28216317
X13542953,X13542953,uid://A001/X2c0/X4043,X16699446,X21147265,X17542118
X30187942,X30187942,uid://A001/X2c0/X4043,X16699446,X27015839,X25265792
X16549002,X16549002,uid://A001/X2c0/X4043,X16699446,X14712867,X7860921
X26010499,X26010499,uid://A001/X2c0/X4043,X16699446,X21751213,X24158408
X24453359,X24453359,uid://A001/X2c0/X4044,X25138051,X5599516,X19753853
X7131242,X7131242,uid://A001/X2c0/X4044,X25138051,X3380423,X8704044
X8168341,X8168341,uid://A001/X2c0/X4044,X14133817,X33524971,X1623116
X1122600,X1122600,uid://A001/X2c0/X4044,X14133817,X26528970,X7757146
X31468176,X31468176,uid://A001/X2c0/X4044,X14133817,X18780535,X30892277
X15725872,X15725872,uid://A001/X2c0/X4044,X14133817,X9409337,X25850669
X21162282,X21162282,uid://A001/X2c0/X28ab,X6570306,X13670991,X17890061
X2859630,X2859630,uid://A001/X2c0/X28ab,X6570306,X18501325,X1260639
X14615941,X14615941,uid://A001/X2c0/X28ab,X31679574,X5377325,X29525904
X8284560,X8284560,uid://A001/X2c0/X28ab,X31679574,X14528701,X23242632
X7609676,X7609676,uid://A001/X2c0/X28ab,X31679574,X14528701,X29707433
X27470899,X27470899,uid://A001/X2c0/X28ab,X31679574,X7745886,X2072781
X5369917,X5369917,uid://A001/X2c0/X28ab,X31679574,X25297479,X921871
X5436682,X5436682,uid://A001/X2c0/X28ac,X12432912,X8465295,X2115374
X7975849,X7975849,uid://A001/X2c0/X28ac,X12432912,X4785979,X5925975
X9656364,X9656364,uid://A001/X2c0/X28ac,X25289539,X17182072,X23838704
X21093165,X21093165,uid://A001/X2c0/X28ac,X25289539,X32319880,X23237077
X13409641,X13409641,uid://A001/X2c0/X28ac,X25289539,X1857501,X15011461
X12610447,X12610447,uid://A001/X2c0/X28ac,X25289539,X16424023,X14948441
X14842346,X14842346,uid://A001/X2c0/X28ad,X7859748,X26435953,X28641787
X25133710,X25133710,uid://A001/X2c0/X28ad,X7859748,X10027696,X22487800
X23691951,X23691951,uid://A001/X2c0/X28ad,X177936,X14809122,X32393375
X19119259,X19119259,uid://A001/X2c0/X28ad,X177936,X30243449,X18786719
X4981117,X4981117,uid://A001/X2c0/X28ad,X177936,X4546226,X4582136
X25279559,X25279559,uid://A001/X2c0/X28ad,X177936,X25777284,X13379783
X153266,X153266,uid://A001/X2c0/X28ae,X30970967,X678804,X18763512
X7422747,X7422747,uid://A001/X2c0/X28ae,X30970967,X30320615,X3052007
X12225563,X12225563,uid://A001/X2c0/X28ae,X21257653,X23590848,X7094810
X23961171,X23961171,uid://A001/X2c0/X28ae,X21257653,X32140370,X27389264
X6130481,X6130481,uid://A001/X2c0/X28ae,X21257653,X1615497,X18579113
X1659725,X1659725,uid://A001/X2c0/X28ae,X21257653,X11256569,X13508689
X21503881,X21503881,uid://A001/X2c0/X28af,X29640589,X29610714,X26438008
X6342319,X6342319,uid://A001/X2c0/X28af,X29640589,X18313866,X20667393
X2979792,X2979792,uid://A001/X2c0/X28af,X18151623,X15868007,X12963931
X32560090,X32560090,uid://A001/X2c0/X28af,X18151623,X13539903,X18072836
X9395098,X9395098,uid://A001/X2c0/X28af,X18151623,X13539903,X27970376
X33399247,X33399247,uid://A001/X2c0/X28af,X18151623,X26265362,X31451730
X7182175,X7182175,uid://A001/X2c0/X28af,X18151623,X33113012,X17722511
X24144889,X24144889,uid://A001/X2c0/X28b0,X12883725,X9901860,X29554509
X10546531,X10546531,uid://A001/X2c0/X28b0,X12883725,X7519279,X28505207
X23788297,X23788297,uid://A001/X2c0/X28b0,X8857675,X5451739,X27888814
X19670243,X19670243,uid://A001/X2c0/X28b0,X8857675,X18576194,X28606323
X24766687,X24766687,uid://A001/X2c0/X28b0,X8857675,X20399262,X10814018
X9668672,X9668672,uid://A001/X2c0/X28b0,X8857675,X23377157,X4098118
X27623155,X27623155,uid://A001/X2c0/X3193,X1508889,X22727299,X5798158
X29062402,X29062402,uid://A001/X2c0/X3193,X1508889,X15444314,X28222358
X28965685,X28965685,uid://A001/X2c0/X3193,X20544614,X32260455,X3577571
X32249994,X32249994,uid://A001/X2c0/X3193,X20544614,X2617275,X24461315
X21994536,X21994536,uid://A001/X2c0/X3193,X20544614,X4996440,X10789144
X10180378,X10180378,uid://A001/X2c0/X3193,X20544614,X3988636,X21927222
X285083,X285083,uid://A001/X2c0/X3193,X20544614,X31286525,X21927222
X21673682,X21673682,uid://A001/X2c0/X3193,X20544614,X25094468,X21927222
X9648302,X9648302,uid://A001/X2c0/X3193,X20544614,X27252683,X21927222
X24527031,X24527031,uid://A001/X2c0/X3193,X20544614,X3480142,X21927222
X24474228,X24474228,uid://A001/X2c0/X3194,X14469421,X22808966,X29584583
X18118097,X18118097,uid://A001/X2c0/X3194,X14469421,X29147335,X22788555
X22896129,X22896129,uid://A001/X2c0/X3194,X507600,X21652925,X4036125
X33496941,X33496941,uid://A001/X2c0/X3194,X507600,X81851,X1685724
X10209871,X10209871,uid://A001/X2c0/X3194,X507600,X31418831,X13869251
X26346550,X26346550,uid://A001/X2c0/X3194,X507600,X13833162,X25835256
X28451819,X28451819,uid://A001/X2c0/X3194,X507600,X21992747,X25835256
X10466587,X10466587,uid://A001/X2c0/X3194,X507600,X12181328,X25835256
X659365,X659365,uid://A001/X2c0/X3194,X507600,X12849809,X25835256
X27107115,X27107115,uid://A001/X2c0/X3194,X507600,X16450365,X25835256
X3319712,X3319712,uid://A001/X2c0/X3195,X3353166,X3605796,X30731272
X7679377,X7679377,uid://A001/X2c0/X3195,X3353166,X23999851,X26228150
X15268545,X15268545,uid://A001/X2c0/X3195,X9629366,X11564380,X386004
X7664224,X7664224,uid://A001/X2c0/X3195,X9629366,X20340347,X20416072
X1639223,X1639223,uid://A001/X2c0/X3195,X9629366,X2673351,X21877321
X15961495,X15961495,uid://A001/X2c0/X3195,X9629366,X32660390,X6700847
X2617094,X2617094,uid://A001/X2c0/X3195,X9629366,X16383459,X6700847
X3671442,X3671442,uid://A001/X2c0/X3195,X9629366,X27930353,X6700847
X13451989,X13451989,uid://A001/X2c0/X3195,X9629366,X22072900,X6700847
X15946178,X15946178,uid://A001/X2c0/X3195,X9629366,X18175379,X6700847
X21822295,X21822295,uid://A001/X2c0/X3196,X6782305,X9218934,X21842040
X12699457,X12699457,uid://A001/X2c0/X3196,X6782305,X24175838,X25219559
X11886974,X11886974,uid://A001/X2c0/X3196,X21898554,X463885,X27988340
X13639757,X13639757,uid://A001/X2c0/X3196,X21898554,X20063195,X30405905
X25798981,X25798981,uid://A001/X2c0/X3196,X21898554,X11656843,X15706811
X28588811,X28588811,uid://A001/X2c0/X3196,X21898554,X19063473,X28644784
X1481765,X1481765,uid://A001/X2c0/X3196,X21898554,X20769551,X28644784
X28159462,X28159462,uid://A001/X2c0/X3196,X21898554,X4640581,X28644784
X19558479,X19558479,uid://A001/X2c0/X3196,X21898554,X2777715,X28644784
X25000704,X25000704,uid://A001/X2c0/X3196,X21898554,X7174030,X28644784
X30399844,X30399844,uid://A001/X2c0/X3197,X26041414,X455004,X28145854
X30799827,X30799827,uid://A001/X2c0/X3197,X26041414,X9339256,X22053339
X18856525,X18856525,uid://A001/X2c0/X3197,X29527243,X8384239,X17669132
X29656622,X29656622,uid://A001/X2c0/X3197,X29527243,X10063901,X6566578
X6208915,X6208915,uid://A001/X2c0/X3197,X29527243,X22963603,X19145380
X21107903,X21107903,uid://A001/X2c0/X3197,X29527243,X10729773,X30479155
X1225495,X1225495,uid://A001/X2c0/X3197,X29527243,X16163715,X30479155
X13964148,X13964148,uid://A001/X2c0/X3197,X29527243,X14714958,X30479155
X27167436,X27167436,uid://A001/X2c0/X3197,X29527243,X27158227,X30479155
X9978026,X9978026,uid://A001/X2c0/X3197,X29527243,X12643534,X30479155
X30271159,X30271159,uid://A001/X2c0/X3198,X19446385,X18297321,X23275385
X13320270,X13320270,uid://A001/X2c0/X3198,X19446385,X19182739,X24254024
X21710354,X21710354,uid://A001/X2c0/X3198,X31351582,X3211592,X26449237
X23782833,X23782833,uid://A001/X2c0/X3198,X31351582,X27101305,X23861705
