TARG_ID,TARG_ID,OBSPROJECT_UID,SG_ID,tarType,solarSystem,sourceName,RA,DEC,isMosaic,centerVel,centerVel_units,centerVel_refsys,centerVel_doppler,lineWidth
uid://A001/X1ee/X6ef_01_1,uid://A001/X1ee/X6ef_01_1,uid://A001/X1ee/X6ef,uid://A001/X1ee/X6ef_01,F_MultiplePoints,Unspecified,sn_1987a,83.86675,-69.2697417,False,0.0,km/s,hel,RELATIVISTIC,0.5784208220474978
uid://A001/X1ee/X6ef_02_1,uid://A001/X1ee/X6ef_02_1,uid://A001/X1ee/X6ef,uid://A001/X1ee/X6ef_02,F_MultiplePoints,Unspecified,sn_1987a,83.86675,-69.2697417,False,0.0,km/s,hel,RELATIVISTIC,0.601145209596967
uid://A001/X1ee/X6ef_03_1,uid://A001/X1ee/X6ef_03_1,uid://A001/X1ee/X6ef,uid://A001/X1ee/X6ef_03,F_MultiplePoints,Unspecified,sn_1987a,83.86675,-69.2697417,False,0.0,km/s,hel,RELATIVISTIC,0.623868930018246
uid://A001/X1ee/X6ef_04_1,uid://A001/X1ee/X6ef_04_1,uid://A001/X1ee/X6ef,uid://A001/X1ee/X6ef_04,F_MultiplePoints,Unspecified,sn_1987a,83.86675,-69.2697417,False,0.0,km/s,hel,RELATIVISTIC,0.6465933175677152
uid://A001/X1ee/X6ef_05_1,uid://A001/X1ee/X6ef_05_1,uid://A001/X1ee/X6ef,uid://A001/X1ee/X6ef_05,F_MultiplePoints,Unspecified,sn_1987a,83.86675,-69.2697417,False,0.0,km/s,hel,RELATIVISTIC,0.6693170379889943
uid://A001/X1ee/X6ef_06_1,uid://A001/X1ee/X6ef_06_1,uid://A001/X1ee/X6ef,uid://A001/X1ee/X6ef_06,F_MultiplePoints,Unspecified,sn_1987a,83.86675,-69.2697417,False,0.0,km/s,hel,RELATIVISTIC,0.8519433801099832
uid://A001/X1ee/X6ef_07_1,uid://A001/X1ee/X6ef_07_1,uid://A001/X1ee/X6ef,uid://A001/X1ee/X6ef_07,F_MultiplePoints,Unspecified,sn_1987a,83.86675,-69.2697417,False,0.0,km/s,hel,RELATIVISTIC,0.874667767659452
uid://A001/X1ee/X6ef_08_1,uid://A001/X1ee/X6ef_08_1,uid://A001/X1ee/X6ef,uid://A001/X1ee/X6ef_08,F_MultiplePoints,Unspecified,sn_1987a,83.86675,-69.2697417,False,0.0,km/s,hel,RELATIVISTIC,0.8973914880807309
uid://A001/X1ee/X6ef_09_1,uid://A001/X1ee/X6ef_09_1,uid://A001/X1ee/X6ef,uid://A001/X1ee/X6ef_09,F_MultiplePoints,Unspecified,sn_1987a,83.86675,-69.2697417,False,0.0,km/s,hel,RELATIVISTIC,0.9201158756302
uid://A001/X1ee/Xdf8_01_1,uid://A001/X1ee/Xdf8_01_1,uid://A001/X1ee/Xdf8,uid://A001/X1ee/Xdf8_01,F_MultiplePoints,Unspecified,NGC_2623,129.6003875,25.7546389,False,5486.039527425213,km/s,hel,RELATIVISTIC,0.24179227350676044
uid://A001/X1ee/Xdf8_02_1,uid://A001/X1ee/Xdf8_02_1,uid://A001/X1ee/Xdf8,uid://A001/X1ee/Xdf8_02,F_MultiplePoints,Unspecified,NGC2623,129.6003875,25.7546389,False,5486.039527425213,km/s,hel,RELATIVISTIC,0.056629454207172795
uid://A001/X1ee/Xdf8_03_1,uid://A001/X1ee/Xdf8_03_1,uid://A001/X1ee/Xdf8,uid://A001/X1ee/Xdf8_03,F_MultiplePoints,Unspecified,IRAS_18293-3413,278.1715708,-34.1909611,False,5346.52799920304,km/s,hel,RELATIVISTIC,0.24189717605873082
uid://A001/X1ee/Xdf8_04_1,uid://A001/X1ee/Xdf8_04_1,uid://A001/X1ee/Xdf8,uid://A001/X1ee/Xdf8_04,F_MultiplePoints,Unspecified,IRAS_18293-3413,278.1715708,-34.1909611,False,5346.52799920304,km/s,hel,RELATIVISTIC,0.11331164410543713
uid://A001/X1ee/Xdf8_05_1,uid://A001/X1ee/Xdf8_05_1,uid://A001/X1ee/Xdf8,uid://A001/X1ee/Xdf8_05,F_MultiplePoints,Unspecified,NGC_5104,200.3463125,0.3426056,False,5512.521456815873,km/s,hel,RELATIVISTIC,0.24176323205219497
uid://A001/X1ee/Xdf8_06_1,uid://A001/X1ee/Xdf8_06_1,uid://A001/X1ee/Xdf8,uid://A001/X1ee/Xdf8_06,F_MultiplePoints,Unspecified,NGC5104,200.3463125,0.3426056,False,5512.521456815873,km/s,hel,RELATIVISTIC,0.11324890085292823
uid://A001/X1ee/X12cb_01_1,uid://A001/X1ee/X12cb_01_1,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_01,F_MultiplePoints,Unspecified,hm772822,150.41134166666666,2.469475,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_01_2,uid://A001/X1ee/X12cb_01_2,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_01,F_MultiplePoints,Unspecified,hm696881,150.51499166666667,2.3571916666666666,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_01_3,uid://A001/X1ee/X12cb_01_3,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_01,F_MultiplePoints,Unspecified,hm569492,150.62329583333334,2.167466666666667,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_01_4,uid://A001/X1ee/X12cb_01_4,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_01,F_MultiplePoints,Unspecified,hm551168,150.5428,2.1396944444444443,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_01_5,uid://A001/X1ee/X12cb_01_5,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_01,F_MultiplePoints,Unspecified,hm578088,150.4203625,2.1799444444444442,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_02_1,uid://A001/X1ee/X12cb_02_1,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_02,F_MultiplePoints,Unspecified,hm772822,150.41134166666666,2.469475,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_02_2,uid://A001/X1ee/X12cb_02_2,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_02,F_MultiplePoints,Unspecified,hm696881,150.51499166666667,2.3571916666666666,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_02_3,uid://A001/X1ee/X12cb_02_3,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_02,F_MultiplePoints,Unspecified,hm569492,150.62329583333334,2.167466666666667,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_02_4,uid://A001/X1ee/X12cb_02_4,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_02,F_MultiplePoints,Unspecified,hm551168,150.5428,2.1396944444444443,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_02_5,uid://A001/X1ee/X12cb_02_5,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_02,F_MultiplePoints,Unspecified,hm578088,150.4203625,2.1799444444444442,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_03_1,uid://A001/X1ee/X12cb_03_1,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_03,F_MultiplePoints,Unspecified,hm772822,150.41134166666666,2.469475,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_03_2,uid://A001/X1ee/X12cb_03_2,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_03,F_MultiplePoints,Unspecified,hm696881,150.51499166666667,2.3571916666666666,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_03_3,uid://A001/X1ee/X12cb_03_3,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_03,F_MultiplePoints,Unspecified,hm569492,150.62329583333334,2.167466666666667,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_03_4,uid://A001/X1ee/X12cb_03_4,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_03,F_MultiplePoints,Unspecified,hm551168,150.5428,2.1396944444444443,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_03_5,uid://A001/X1ee/X12cb_03_5,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_03,F_MultiplePoints,Unspecified,hm578088,150.4203625,2.1799444444444442,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_04_1,uid://A001/X1ee/X12cb_04_1,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_04,F_MultiplePoints,Unspecified,hm772822,150.41134166666666,2.469475,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_04_2,uid://A001/X1ee/X12cb_04_2,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_04,F_MultiplePoints,Unspecified,hm696881,150.51499166666667,2.3571916666666666,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_04_3,uid://A001/X1ee/X12cb_04_3,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_04,F_MultiplePoints,Unspecified,hm569492,150.62329583333334,2.167466666666667,False,0.0,km/s,lsrk,RADIO,0.0
